"","name"
"267","Os04g0386700"
"268","Os04g0595000"
"269","Os09g0547100"
"270","osa-miR395i"
"271","Os01g0564600"
"272","Os11g0591000"
"273","Os10g0427300"
"274","Os08g0127900"
"275","Os11g0554300"
"276","Os04g0481600"
"277","Os01g0377700"
"278","Os01g0527800"
"279","Os06g0147700"
"280","osa-miR156a"
"281","Os05g0232900"
"282","Os03g0166600"
"283","Os02g0254800"
"284","osa-miR395l"
"285","Os02g0703800"
"286","Os05g0311900"
"287","Os09g0304400"
"288","PTaControl0001"
"289","Os04g0626300"
"290","Os07g0141100"
"291","Os01g0515300"
"292","Os12g0125200"
"293","Os02g0231700"
"294","Os07g0446000"
"295","Os01g0923800"
"296","Os08g0546800"
"297","Os01g0162300"
"298","Os02g0583300"
"299","Os05g0241300"
"300","Os02g0194900"
"301","Os02g0693800"
"302","Os01g0883800"
"303","Os09g0545700"
"304","Os03g0432100"
"305","Os11g0700900"
"306","Os06g0365400"
"307","Os05g0368700"
"308","Os06g0154600"
"309","Os07g0218700"
"310","Os10g0326700"
"311","Os10g0193500"
"312","Os01g0678400"
"313","Os07g0592600"
"314","osa-miR166f"
"315","Os01g0736100"
"316","osa-miR398a"
"317","Os01g0503400"
"318","Os08g0104800"
"319","Os03g0275100"
"320","Os02g0492000"
"321","Os11g0158200"
"322","Os11g0206600"
"323","Os06g0165200"
"324","Os05g0199500"
"325","Os12g0244700"
"326","Os06g0141800"
"327","Os08g0398300"
"328","Os07g0588400"
"329","Os03g0802100"
"330","Os02g0625100"
"331","Os11g0664500"
"332","Os08g0516400"
"333","Os07g0130500"
"334","Os08g0196900"
"335","Os11g0541600"
"336","POsControl0022"
"337","Os01g0607600"
"338","Os03g0391300"
"339","Os05g0188900"
"340","Os01g0356900"
"341","Os12g0116400"
"342","Os09g0522200"
"343","Os03g0727600"
"344","Os03g0727200"
"345","Os11g0551300"
"346","Os05g0361800"
"347","Os01g0532100"
"348","Os08g0291600"
"349","Os03g0437200"
"350","Os06g0280900"
"351","Os06g0668400"
"352","Os09g0261900"
"353","Os05g0140800"
"354","Os03g0141800"
"355","Os06g0144900"
"356","Os04g0161800"
"357","Os05g0258400"
"358","Os02g0747900"
"359","Os09g0425300"
"360","Os09g0526600"
"361","Os07g0670800"
"362","Os05g0572700"
"363","Os06g0181900"
"364","Os11g0193800"
"365","POsControl0035"
"366","Os05g0449100"
"367","Os10g0499800"
"368","Os07g0516400"
"369","Os01g0615100"
"370","Os03g0861000"
"371","Os09g0322100"
"372","osa-miR439j"
"373","Os03g0129500"
"374","Os09g0440000"
"375","Os07g0301500"
"376","POsControl0018"
"377","Os05g0138200"
"378","Os03g0701100"
"379","Os05g0399800"
"380","Os01g0242400"
"381","Os02g0253000"
"382","Os02g0684200"
"383","Os03g0615300"
"384","Os12g0127800"
"385","Os02g0267200"
"386","Os05g0330600"
"387","Os08g0202500"
"388","Os02g0112000"
"389","osa-miR395a"
"390","Os07g0214600"
"391","osa-miR171b"
"392","Os03g0712400"
"393","Os01g0159500"
"394","Os06g0678700"
"395","Os04g0206600"
"396","POsControl0004"
"397","Os02g0120500"
"398","Os09g0489500"
"399","Os03g0661600"
"400","Os07g0427900"
"401","Os06g0248600"
"402","Os10g0118000"
"403","Os04g0525200"
"404","Os08g0428800"
"405","osa-miR395d"
"406","Os06g0535100"
"407","Os11g0151500"
"408","Os11g0415400"
"409","Os09g0566700"
"410","Os08g0444400"
"411","Os08g0374600"
"412","Os08g0267800"
"413","Os05g0276500"
"414","Os04g0624300"
"415","Os02g0708500"
"416","Os04g0112100"
"417","Os11g0542800"
"418","Os11g0500100"
"419","Os05g0276500"
"420","Os06g0517700"
"421","osa-miR530"
"422","Os11g0607900"
"423","osa-miR395g"
"424","POsControl0002"
"425","Os08g0462800"
"426","osa-miR169n"
"427","Os10g0188800"
"428","Os03g0375100"
"429","Os03g0782300"
"430","Os07g0125000"
"431","Os02g0732700"
"432","Os08g0116700"
"433","Os06g0473800"
"434","Os01g0757400"
"435","Os08g0210900"
"436","Os03g0772900"
"437","Os07g0566800"
"438","Os06g0543500"
"439","Os05g0247800"
"440","Os11g0541800"
"441","Os04g0523000"
"442","Os05g0416400"
"443","Os01g0157600"
"444","Os05g0374500"
"445","Os04g0497000"
"446","Os02g0518600"
"447","Os01g0267300"
"448","POsControl0041"
"449","Os10g0452700"
"450","Os01g0364900"
"451","Os07g0633000"
"452","osa-miR535"
"453","POsControl0045"
"454","Os08g0503600"
"455","Os04g0587100"
"456","osa-miR167c"
"457","Os02g0786300"
"458","Os11g0265900"
"459","Os11g0701500"
"460","Os11g0657900"
"461","Os02g0133400"
"462","Os04g0633300"
"463","Os04g0474500"
"464","POsControl0045"
"465","POsControl0029"
"466","Os08g0118500"
"467","Os05g0327000"
"468","Os01g0724700"
"469","Os04g0291900"
"470","Os03g0106700"
"471","Os05g0551500"
"472","Os05g0588700"
"473","Os07g0217800"
"474","Os10g0499500"
"475","Os03g0667400"
"476","Os06g0541600"
"477","Os12g0434400"
"478","Os09g0552500"
"479","osa-miR399c"
"480","Os03g0745000"
"481","osa-miR395s"
"482","osa-miR395o"
"483","Os08g0471200"
"484","Os01g0171200"
"485","Os07g0534500"
"486","Os01g0195700"
"487","Os09g0273800"
"488","Os12g0266200"
"489","Os03g0326200"
"490","Os12g0422800"
"491","Os05g0499800"
"492","Os03g0318400"
"493","osa-miR166i"
"494","Os04g0132900"
"495","Os03g0215400"
"496","POsControl0020"
"497","Os11g0575600"
"498","Os03g0740200"
"499","Os08g0543000"
"500","Os01g0372100"
"501","Os01g0932000"
"502","Os08g0563400"
"503","Os05g0119900"
"504","Os06g0242700"
"505","Os11g0438000"
"506","Os12g0154800"
