"","x"
"1135","Os01g0597800"
"1136","Os09g0381400"
"1137","Os07g0475700"
"1138","Os07g0685700"
"1139","Os02g0281800"
"1140","Os03g0829200"
"1141","Os12g0440300"
"1142","Os04g0543900"
"1143","Os03g0757100"
"1144","Os05g0126800"
"1145","Os02g0639300"
"1146","Os05g0568600"
"1147","Os02g0773500"
"1148","Os01g0626400"
"1149","Os03g0764100"
"1150","Os11g0147800"
"1151","Os03g0799300"
"1152","Os12g0463000"
"1153","Os08g0441100"
"1154","Os09g0298500"
"1155","Os02g0710300"
"1156","Os03g0104100"
"1157","Os07g0518200"
"1158","Os02g0787000"
"1159","Os02g0247800"
"1160","Os11g0129800"
"1161","Os02g0736900"
"1162","Os08g0269000"
"1163","Os04g0384000"
"1164","Os05g0437100"
"1165","Os04g0543500"
"1166","Os04g0111200"
"1167","Os04g0564700"
"1168","Os05g0438800"
"1169","Os07g0674800"
"1170","Os04g0668900"
"1171","Os06g0555900"
"1172","Os05g0126700"
"1173","Os01g0651500"
"1174","Os06g0711100"
"1175","Os12g0592900"
"1176","Os02g0504700"
"1177","Os03g0723700"
"1178","Os05g0119200"
"1179","Os09g0460700"
"1180","Os09g0442100"
"1181","Os03g0437600"
"1182","Os01g0937400"
"1183","Os04g0385600"
"1184","Os05g0389800"
"1185","Os05g0552800"
"1186","Os05g0477600"
"1187","Os03g0310800"
"1188","Os01g0796000"
"1189","Os06g0505700"
"1190","Os02g0656600"
"1191","Os08g0566700"
"1192","Os12g0424700"
"1193","Os01g0101800"
"1194","Os12g0123800"
"1195","Os09g0385700"
"1196","Os03g0301200"
"1197","Os02g0708200"
"1198","Os04g0679500"
"1199","Os04g0451700"
"1200","Os12g0603800"
"1201","Os12g0127100"
"1202","Os06g0158800"
"1203","Os07g0127500"
"1204","Os03g0734500"
"1205","Os10g0469200"
"1206","Os01g0597600"
"1207","Os09g0522200"
"1208","Os10g0557800"
"1209","Os02g0582800"
"1210","Os02g0217400"
"1211","Os05g0370700"
"1212","Os09g0300800"
"1213","Os04g0481700"
"1214","Os10g0444700"
"1215","Os01g0854000"
"1216","Os01g0281100"
"1217","Os05g0408900"
"1218","Os02g0624400"
"1219","Os01g0735400"
"1220","Os08g0498400"
"1221","Os06g0345200"
"1222","Os04g0119500"
"1223","Os07g0529600"
"1224","Os03g0699000"
"1225","Os10g0466800"
"1226","Os01g0113300"
"1227","Os09g0380600"
"1228","Os10g0130600"
"1229","Os12g0568100"
"1230","Os09g0554300"
"1231","Os10g0422800"
"1232","Os06g0596500"
"1233","Os03g0793000"
"1234","Os07g0121800"
"1235","Os01g0638000"
"1236","Os03g0729000"
"1237","Os06g0666400"
"1238","Os10g0158100"
"1239","Os05g0106200"
"1240","Os01g0782100"
"1241","Os04g0286500"
"1242","Os01g0605700"
"1243","Os05g0527900"
"1244","Os03g0701100"
"1245","Os05g0276500"
"1246","Os08g0143600"
"1247","Os10g0552200"
"1248","Os12g0246700"
"1249","Os03g0718800"
"1250","Os01g0329800"
"1251","Os03g0341300"
"1252","Os09g0483800"
"1253","Os01g0512900"
"1254","Os04g0223500"
"1255","Os10g0399200"
"1256","Os05g0382400"
"1257","Os07g0587500"
"1258","Os03g0244200"
"1259","Os03g0717900"
"1260","Os04g0538300"
"1261","Os01g0206300"
"1262","Os03g0152000"
"1263","Os02g0627900"
"1264","Os03g0347900"
"1265","Os04g0185100"
"1266","Os07g0602900"
"1267","Os12g0548700"
"1268","Os06g0192800"
"1269","Os05g0398000"
"1270","Os09g0342000"
"1271","Os05g0572000"
"1272","Os03g0803600"
"1273","Os12g0187800"
"1274","Os04g0603400"
"1275","Os04g0445100"
"1276","Os11g0444700"
"1277","Os02g0786500"
"1278","Os08g0480000"
"1279","Os04g0535200"
"1280","Os07g0553300"
"1281","Os07g0509800"
"1282","Os03g0858600"
"1283","Os05g0569300"
"1284","Os04g0146800"
"1285","Os01g0677000"
"1286","Os09g0120900"
"1287","Os04g0605500"
"1288","Os06g0707800"
"1289","Os11g0701000"
"1290","Os09g0135100"
"1291","Os10g0519400"
"1292","Os01g0175900"
"1293","Os03g0696300"
"1294","Os07g0633400"
"1295","Os07g0126800"
"1296","Os08g0385000"
"1297","Os01g0972000"
"1298","Os05g0471000"
"1299","Os02g0206200"
"1300","Os04g0658200"
"1301","Os02g0250600"
"1302","Os03g0182400"
"1303","Os01g0813800"
"1304","Os08g0176000"
"1305","Os07g0142700"
"1306","Os12g0617400"
"1307","Os03g0238200"
"1308","Os01g0727500"
"1309","Os01g0930900"
"1310","Os02g0566300"
"1311","Os02g0629000"
"1312","Os01g0295700"
"1313","Os02g0454500"
"1314","Os08g0204800"
"1315","Os01g0936100"
"1316","Os03g0128600"
"1317","Os10g0369900"
"1318","Os04g0414500"
"1319","Os10g0467000"
"1320","Os05g0410500"
"1321","Os05g0526700"
"1322","Os07g0491900"
"1323","Os04g0500600"
"1324","Os11g0591600"
"1325","Os02g0129800"
"1326","Os12g0451400"
"1327","Os01g0812200"
"1328","Os04g0639200"
"1329","Os01g0821600"
"1330","Os08g0428200"
"1331","Os03g0410000"
"1332","Os10g0521900"
"1333","Os11g0280500"
"1334","Os04g0606200"
"1335","Os06g0210900"
"1336","Os02g0143400"
"1337","Os11g0606100"
"1338","Os03g0664800"
"1339","osa-miR169a"
"1340","Os01g0803900"
"1341","Os07g0125600"
"1342","Os05g0380900"
"1343","Os03g0192100"
"1344","Os06g0356800"
"1345","Os03g0790000"
"1346","Os07g0126200"
"1347","Os04g0365100"
"1348","Os01g0855600"
"1349","Os05g0476700"
"1350","Os09g0105500"
"1351","Os02g0158900"
"1352","Os05g0554000"
"1353","Os07g0245100"
"1354","Os05g0198200"
"1355","Os03g0610400"
"1356","Os01g0613800"
"1357","Os10g0571600"
"1358","Os08g0173700"
"1359","Os02g0318100"
"1360","Os05g0486600"
"1361","Os01g0153500"
"1362","Os02g0226300"
"1363","Os03g0121300"
"1364","Os07g0448100"
"1365","Os11g0156300"
"1366","Os01g0533900"
"1367","Os03g0405200"
"1368","Os06g0501900"
"1369","Os01g0656400"
"1370","Os01g0359400"
"1371","Os08g0414500"
"1372","Os05g0447700"
"1373","Os05g0545700"
"1374","Os09g0441100"
"1375","Os04g0404900"
"1376","Os06g0683400"
"1377","Os05g0166300"
"1378","Os08g0457400"
"1379","Os04g0629600"
"1380","Os01g0214500"
"1381","Os04g0107600"
"1382","Os09g0304500"
"1383","Os09g0442600"
"1384","Os01g0186900"
"1385","Os07g0604000"
"1386","Os03g0622500"
"1387","Os07g0413800"
"1388","Os06g0349800"
"1389","Os09g0542900"
"1390","Os03g0241500"
"1391","Os12g0564100"
"1392","Os06g0707300"
"1393","Os01g0192300"
"1394","Os12g0149300"
"1395","Os03g0314800"
"1396","Os01g0935600"
"1397","Os01g0522100"
"1398","Os03g0820500"
"1399","Os06g0319600"
"1400","Os09g0272000"
"1401","Os01g0509400"
"1402","Os02g0657000"
"1403","Os10g0548100"
"1404","Os01g0121500"
"1405","osa-miR159f"
"1406","Os12g0465800"
"1407","Os06g0275000"
"1408","Os08g0551500"
"1409","Os05g0560500"
"1410","Os05g0429600"
"1411","Os04g0685700"
"1412","Os09g0478600"
"1413","Os04g0679400"
"1414","Os05g0361700"
"1415","Os01g0289900"
"1416","Os02g0669500"
"1417","Os10g0456800"
"1418","Os06g0200600"
"1419","Os01g0972800"
"1420","Os01g0731100"
"1421","Os01g0389700"
"1422","Os02g0618000"
"1423","Os11g0490900"
"1424","Os08g0114400"
"1425","Os03g0283200"
"1426","Os09g0490400"
"1427","Os06g0307900"
"1428","Os03g0656800"
"1429","Os08g0151200"
"1430","Os10g0390100"
"1431","Os01g0803600"
"1432","Os04g0518800"
"1433","Os04g0179100"
"1434","Os09g0128400"
"1435","Os06g0186300"
"1436","Os03g0750000"
"1437","Os06g0730000"
"1438","Os07g0170100"
"1439","osa-miR399d"
"1440","Os01g0716500"
"1441","Os03g0826800"
"1442","Os08g0402500"
"1443","Os01g0685200"
"1444","Os06g0133400"
"1445","Os06g0587000"
"1446","Os06g0498800"
"1447","Os05g0431000"
"1448","Os07g0410300"
"1449","Os12g0608700"
"1450","Os05g0149000"
"1451","Os01g0695900"
"1452","Os01g0104500"
"1453","Os06g0220900"
"1454","Os07g0691300"
"1455","Os08g0539400"
"1456","Os04g0569100"
"1457","Os03g0231300"
"1458","Os12g0225300"
"1459","Os02g0132300"
"1460","Os07g0136500"
"1461","Os03g0597800"
"1462","Os12g0169200"
"1463","Os11g0643600"
"1464","Os05g0212900"
"1465","Os05g0541500"
"1466","Os01g0342700"
"1467","Os11g0683800"
"1468","Os11g0592000"
"1469","Os01g0879200"
"1470","Os12g0629700"
"1471","Os03g0740900"
