"","x"
"267","Os12g0150200"
"268","Os02g0759400"
"269","Os01g0609200"
"270","Os04g0620800"
"271","Os02g0803400"
"272","Os10g0482900"
"273","Os09g0341500"
"274","Os02g0314600"
"275","Os07g0664400"
"276","Os11g0483000"
"277","Os09g0533600"
"278","Os09g0505400"
"279","Os01g0687400"
"280","Os12g0222000"
"281","Os02g0205500"
"282","Os08g0485400"
"283","Os02g0126300"
"284","Os04g0468600"
"285","Os06g0255900"
"286","Os02g0719600"
"287","Os11g0270000"
"288","Os03g0737000"
"289","Os03g0442900"
"290","Os02g0180700"
"291","Os05g0397300"
"292","Os11g0120300"
"293","Os06g0692600"
"294","Os07g0516700"
"295","Os01g0353400"
"296","Os08g0514000"
"297","Os09g0365900"
"298","Os06g0195800"
"299","Os05g0522600"
"300","Os06g0687200"
"301","Os01g0835700"
"302","Os02g0820800"
"303","Os02g0601800"
"304","Os10g0392400"
"305","Os08g0277200"
"306","Os03g0343400"
"307","Os03g0129400"
"308","Os02g0671300"
"309","Os05g0138000"
"310","Os02g0466400"
"311","Os03g0364400"
"312","Os08g0108700"
"313","Os07g0643700"
"314","Os03g0650900"
"315","Os03g0798500"
"316","Os09g0465400"
"317","Os01g0686300"
"318","Os05g0525900"
"319","Os01g0975300"
"320","Os06g0535200"
"321","Os08g0374600"
"322","Os01g0868000"
"323","Os07g0174400"
"324","Os07g0545800"
"325","Os07g0557100"
"326","Os02g0627100"
"327","Os08g0465800"
"328","Os03g0257600"
"329","Os07g0569100"
"330","Os02g0232500"
"331","Os01g0209700"
"332","Os03g0224700"
"333","Os01g0639600"
"334","Os07g0274700"
"335","Os12g0541300"
"336","Os01g0871800"
"337","Os10g0365200"
"338","Os08g0482700"
"339","Os04g0149400"
"340","Os10g0394700"
"341","Os09g0401300"
"342","Os04g0581800"
"343","Os03g0833900"
"344","Os08g0364900"
"345","Os02g0695200"
"346","Os10g0543400"
"347","Os01g0534800"
"348","Os03g0154100"
"349","Os05g0588900"
"350","Os01g0775400"
"351","Os03g0379500"
"352","Os02g0515200"
"353","Os06g0203600"
"354","Os03g0767000"
"355","Os05g0176300"
"356","Os03g0107300"
"357","Os03g0108300"
"358","Os05g0114400"
"359","Os01g0929200"
"360","Os04g0154800"
"361","Os11g0649400"
"362","Os02g0193100"
"363","Os04g0504800"
"364","Os02g0774200"
"365","Os01g0158500"
"366","Os08g0141400"
"367","Os02g0587300"
"368","Os01g0846300"
"369","Os12g0198200"
"370","Os01g0832600"
"371","Os02g0575200"
"372","Os02g0640500"
"373","Os07g0141200"
"374","Os06g0597000"
"375","Os01g0607200"
"376","Os04g0593200"
"377","Os10g0210500"
"378","Os01g0508100"
"379","Os01g0678800"
"380","Os05g0464200"
"381","Os11g0696900"
"382","Os02g0526400"
"383","Os08g0545400"
"384","Os08g0138200"
"385","Os03g0781300"
"386","Os06g0215600"
"387","Os06g0235500"
"388","Os11g0155600"
"389","Os04g0488700"
"390","Os01g0188100"
"391","Os05g0514600"
"392","Os02g0193300"
"393","Os02g0540700"
"394","Os10g0550900"
"395","Os03g0351700"
"396","Os02g0462800"
"397","Os03g0270500"
"398","Os05g0114700"
"399","Os01g0783700"
"400","Os01g0846400"
"401","Os03g0238300"
"402","Os07g0551500"
"403","Os04g0491200"
"404","Os04g0492800"
"405","Os08g0171800"
"406","Os06g0692100"
"407","Os06g0633100"
"408","Os09g0394600"
"409","Os06g0158100"
"410","Os09g0545300"
"411","Os03g0132000"
"412","Os04g0359700"
"413","Os11g0676500"
"414","Os08g0355400"
"415","Os06g0131400"
"416","Os06g0729500"
"417","Os08g0138400"
"418","Os06g0729900"
"419","Os07g0580200"
"420","Os09g0493000"
"421","Os01g0955100"
"422","Os04g0188400"
"423","Os04g0674000"
"424","Os12g0468000"
"425","Os03g0161900"
"426","Os03g0140500"
"427","Os02g0475300"
"428","Os03g0145600"
"429","Os01g0847700"
"430","Os10g0393800"
"431","Os03g0289800"
"432","Os09g0511600"
"433","Os05g0194900"
"434","Os09g0416800"
"435","Os03g0643700"
"436","Os04g0678400"
"437","Os02g0209300"
"438","Os05g0545300"
"439","Os08g0185900"
"440","Os01g0242200"
"441","Os02g0181300"
"442","Os01g0124100"
"443","Os07g0561300"
"444","Os04g0405900"
"445","Os02g0173200"
"446","Os01g0802600"
"447","Os02g0707000"
"448","Os01g0786700"
"449","Os05g0331200"
"450","Os12g0615300"
"451","Os10g0322200"
"452","Os01g0892800"
"453","Os08g0384500"
"454","Os02g0522300"
"455","Os03g0286500"
"456","Os06g0127100"
"457","Os02g0303000"
"458","Os04g0567200"
"459","Os04g0686800"
"460","Os01g0241400"
"461","Os10g0464900"
"462","Os03g0435200"
"463","Os06g0691400"
"464","Os07g0525900"
"465","Os01g0631800"
"466","Os05g0427400"
"467","Os09g0434900"
"468","Os07g0686600"
"469","Os02g0787700"
"470","Os07g0564500"
"471","Os06g0692500"
"472","Os10g0580900"
"473","Os01g0901600"
"474","Os02g0720500"
"475","Os06g0193300"
"476","Os11g0186900"
"477","Os08g0408200"
"478","Os03g0815100"
"479","Os02g0575000"
"480","Os10g0421800"
"481","Os07g0404500"
"482","Os02g0602100"
"483","Os06g0234800"
"484","Os04g0587500"
"485","Os07g0550900"
"486","Os04g0417400"
"487","Os07g0425000"
"488","Os01g0695800"
"489","Os11g0213800"
"490","Os07g0673900"
"491","Os03g0133300"
"492","Os05g0494600"
"493","Os01g0625300"
"494","Os05g0360400"
"495","Os01g0739500"
"496","Os04g0450100"
"497","Os06g0243700"
"498","Os10g0558200"
"499","Os04g0527400"
"500","Os03g0438100"
"501","Os02g0216300"
"502","Os06g0618700"
"503","Os01g0858200"
"504","Os06g0164400"
"505","Os06g0565200"
"506","Os09g0280500"
"507","Os01g0270300"
"508","Os01g0793800"
"509","Os03g0334200"
"510","Os03g0586500"
"511","Os11g0168500"
"512","Os06g0329900"
"513","Os10g0517500"
"514","Os05g0501600"
"515","Os09g0454600"
"516","Os05g0228400"
"517","Os05g0213900"
"518","Os09g0437500"
"519","Os04g0631800"
"520","Os02g0732600"
"521","Os03g0439000"
"522","Os01g0621900"
"523","Os02g0705400"
"524","Os07g0631200"
"525","Os04g0650700"
"526","Os03g0368300"
"527","Os02g0764700"
"528","Os03g0794200"
"529","Os07g0684400"
"530","Os10g0391400"
"531","Os02g0126400"
"532","Os08g0546800"
"533","Os02g0773600"
"534","Os02g0654600"
"535","Os05g0402900"
"536","Os07g0526400"
"537","Os11g0438700"
"538","Os08g0520700"
"539","Os06g0239500"
"540","Os04g0578000"
"541","Os06g0239100"
"542","Os04g0464100"
"543","Os12g0181500"
"544","Os12g0596300"
"545","Os07g0149900"
"546","Os05g0589200"
"547","Os04g0527700"
"548","Os01g0781700"
"549","Os11g0134400"
"550","Os01g0821300"
"551","Os01g0863300"
"552","Os01g0739200"
"553","Os10g0483500"
"554","Os11g0213700"
"555","Os10g0525500"
"556","Os05g0380300"
"557","Os10g0400500"
"558","Os01g0949700"
"559","Os04g0660000"
"560","Os11g0303300"
"561","Os01g0804900"
"562","Os05g0153500"
"563","Os03g0180800"
"564","Os04g0671200"
"565","Os06g0202100"
"566","Os01g0895300"
"567","Os03g0123800"
"568","Os04g0325300"
"569","Os05g0493800"
"570","Os07g0160300"
"571","Os03g0365800"
"572","Os04g0497000"
"573","Os05g0576600"
"574","Os02g0165100"
"575","Os10g0488400"
"576","Os09g0468300"
"577","Os02g0271000"
"578","Os03g0386000"
"579","Os12g0631600"
"580","Os08g0124700"
"581","Os02g0313700"
"582","Os05g0104700"
"583","Os06g0133600"
"584","Os03g0180900"
"585","Os12g0438400"
"586","Os04g0449300"
"587","Os09g0417800"
"588","Os12g0527700"
"589","Os07g0162500"
"590","Os08g0428100"
"591","Os06g0151700"
"592","Os01g0127700"
"593","Os08g0446800"
"594","Os03g0402800"
"595","Os06g0662200"
"596","Os03g0241400"
"597","Os08g0462900"
"598","Os01g0968800"
"599","Os02g0739100"
"600","Os02g0555900"
"601","Os10g0371100"
"602","Os06g0622400"
"603","Os01g0305200"
"604","Os10g0568100"
"605","Os01g0124400"
"606","Os09g0492900"
"607","Os04g0380300"
"608","Os12g0632800"
"609","Os12g0154900"
"610","Os09g0557600"
"611","Os01g0954000"
"612","Os08g0203700"
"613","Os01g0246700"
"614","Os05g0217800"
"615","Os01g0697700"
"616","Os01g0383700"
"617","Os11g0649600"
"618","Os07g0670300"
"619","Os08g0529200"
"620","Os06g0651000"
"621","Os12g0543600"
"622","Os02g0620400"
"623","Os01g0699100"
"624","Os12g0242500"
"625","Os01g0818400"
"626","Os07g0438700"
"627","Os12g0131100"
"628","Os11g0552500"
"629","Os08g0556300"
"630","Os12g0153200"
"631","Os05g0560600"
"632","Os11g0149400"
"633","Os12g0284800"
"634","Os05g0162800"
"635","Os12g0226900"
"636","Os03g0726200"
"637","Os06g0248500"
"638","Os02g0150700"
"639","Os05g0465000"
"640","Os01g0625200"
"641","Os11g0214800"
"642","Os09g0486700"
"643","Os07g0191200"
"644","Os05g0404400"
"645","Os05g0128900"
"646","Os11g0525900"
"647","Os11g0686900"
"648","Os06g0219400"
"649","Os07g0653100"
"650","Os03g0366100"
"651","Os06g0219500"
"652","Os01g0139700"
"653","Os01g0551000"
"654","Os12g0106000"
"655","Os07g0614300"
"656","Os02g0661100"
"657","Os01g0717000"
"658","Os12g0116700"
"659","Os01g0582600"
"660","Os03g0230300"
"661","Os04g0471100"
"662","Os01g0719600"
"663","Os12g0443000"
"664","Os01g0859100"
"665","Os07g0672500"
"666","Os07g0677300"
"667","Os06g0604300"
"668","Os02g0748300"
"669","Os04g0506000"
"670","Os01g0893400"
"671","Os12g0178000"
"672","Os01g0550300"
"673","Os03g0297600"
"674","Os01g0955700"
"675","Os05g0127300"
"676","Os04g0516600"
"677","Os06g0694400"
"678","Os04g0669300"
"679","Os10g0113000"
"680","Os03g0790500"
"681","Os12g0155000"
"682","Os05g0563900"
"683","Os12g0603900"
"684","Os05g0427300"
"685","Os01g0305900"
"686","Os04g0356600"
"687","Os06g0196200"
"688","Os01g0701700"
"689","Os02g0712500"
"690","Os07g0127700"
"691","Os01g0704300"
"692","Os07g0111400"
"693","Os08g0451200"
"694","Os01g0121600"
"695","Os05g0431700"
"696","Os05g0211100"
"697","Os01g0905300"
"698","Os07g0530600"
"699","Os01g0876400"
"700","Os05g0324700"
"701","Os04g0514600"
"702","Os03g0188100"
"703","Os02g0799000"
"704","Os02g0730000"
"705","Os03g0218400"
"706","Os02g0673100"
"707","Os09g0452900"
"708","Os03g0300600"
"709","Os06g0125200"
"710","Os10g0329400"
"711","Os09g0429400"
"712","Os01g0780800"
"713","Os01g0722300"
"714","Os12g0505800"
"715","Os11g0154500"
"716","Os03g0845000"
"717","Os01g0603300"
"718","Os09g0518000"
"719","Os04g0585000"
"720","Os03g0797300"
"721","Os08g0120600"
"722","Os03g0820400"
"723","Os12g0154800"
"724","Os07g0143200"
"725","Os11g0684000"
"726","Os01g0101200"
"727","Os01g0699400"
"728","Os11g0160400"
"729","Os10g0578700"
"730","Os02g0561000"
"731","Os06g0239200"
"732","Os10g0519300"
"733","Os06g0714800"
"734","Os02g0618400"
"735","Os01g0892500"
"736","Os10g0535600"
"737","Os04g0659800"
"738","Os03g0318400"
"739","Os06g0725200"
"740","Os03g0761100"
"741","Os05g0468500"
"742","Os12g0174100"
"743","Os02g0560200"
"744","Os06g0289200"
"745","Os04g0517100"
"746","Os03g0107700"
"747","Os12g0181600"
"748","Os03g0646800"
"749","Os03g0285800"
"750","Os04g0373400"
"751","Os05g0115100"
"752","Os03g0322900"
"753","Os07g0524900"
"754","Os01g0194000"
"755","Os01g0716800"
