"","name"
"267","osa-miR166l"
"268","Os07g0258400"
"269","Os03g0347900"
"270","Os04g0657100"
"271","Os06g0304700"
"272","Os01g0522400"
"273","osa-miR441b"
"274","POsControl0045"
"275","Os05g0467800"
"276","Os03g0109000"
"277","Os01g0846400"
"278","Os01g0364900"
"279","Os10g0146300"
"280","Os01g0515300"
"281","Os11g0114100"
"282","Os03g0622300"
"283","Os01g0952800"
"284","osa-miR390"
"285","osa-miR171a"
"286","Os06g0658300"
"287","Os02g0227600"
"288","Os07g0513200"
"289","Os08g0207300"
"290","Os06g0521400"
"291","Os04g0624300"
"292","Os03g0326200"
"293","osa-miR395s"
"294","Os04g0612100"
"295","Os09g0522200"
"296","Os07g0129200"
"297","Os09g0531200"
"298","osa-miR395s"
"299","Os01g0596000"
"300","Os03g0597800"
"301","Os03g0709200"
"302","Os02g0270300"
"303","Os04g0578600"
"304","Os01g0686300"
"305","Os02g0469300"
"306","Os05g0247800"
"307","Os05g0525600"
"308","Os08g0466600"
"309","Os11g0537400"
"310","Os01g0351200"
"311","Os07g0670800"
"312","Os02g0676600"
"313","Os06g0527300"
"314","Os02g0677300"
"315","Os02g0677300"
"316","Os08g0107900"
"317","Os07g0621400"
"318","Os02g0561900"
"319","Os08g0346400"
"320","Os11g0282700"
"321","Os05g0135200"
"322","Os03g0782400"
"323","Os05g0473300"
"324","Os01g0916000"
"325","Os01g0715600"
"326","Os03g0742400"
"327","Os12g0630100"
"328","Os12g0608700"
"329","Os03g0322900"
"330","Os06g0295000"
"331","Os12g0422200"
"332","Os10g0105900"
"333","Os07g0142100"
"334","Os01g0879100"
"335","Os01g0647200"
"336","Os04g0480900"
"337","osa-miR169k"
"338","Os10g0487600"
"339","Os07g0493800"
"340","Os03g0643500"
"341","osa-miR398a"
"342","Os01g0871500"
"343","Os11g0701400"
"344","Os01g0171200"
"345","Os04g0171800"
"346","Os10g0350400"
"347","Os03g0192100"
"348","Os12g0133300"
"349","Os11g0484200"
"350","Os06g0228600"
"351","Os10g0400500"
"352","Os02g0670700"
"353","Os08g0499700"
"354","Os04g0481100"
"355","Os04g0332700"
"356","Os07g0550600"
"357","Os08g0230600"
"358","Os11g0695000"
"359","Os02g0582300"
"360","Os01g0142600"
"361","Os01g0647200"
"362","Os03g0166200"
"363","Os04g0420900"
"364","Os07g0129200"
"365","Os09g0273800"
"366","Os10g0563500"
"367","Os05g0583500"
"368","Os12g0605200"
"369","Os05g0391900"
"370","POsControl0021"
"371","Os03g0454300"
"372","Os08g0531700"
"373","Os05g0458200"
"374","Os05g0171000"
"375","Os05g0145900"
"376","Os09g0329800"
"377","Os11g0417200"
"378","osa-miR396d"
"379","osa-miR171i"
"380","Os10g0129000"
"381","Os04g0570000"
"382","osa-miR435"
"383","Os01g0795300"
"384","Os01g0699600"
"385","Os02g0165500"
"386","Os01g0937800"
"387","Os08g0208400"
"388","Os01g0212500"
"389","Os03g0743700"
"390","Os03g0184400"
"391","Os01g0724700"
"392","Os04g0514600"
"393","Os11g0303200"
"394","Os03g0622500"
"395","Os01g0581400"
